timestamp,total_power,fridge,dryer,coffee machine,kettle,washing machine,pc,freezer,occupancy,weather,tod_slot,tariff,cost
2012-06-01 0:00:00,181.67,16.3,63.26,1,0,47.17,32.08,21.86,1,Summer,off-peak hour,0.10,18.17
2012-06-01 1:00:00,81.6,7.92,0.57,1,0,43.84,14.59,13.68,1,Summer,off-peak hour,0.10,8.16
2012-06-01 2:00:00,115.08,28.85,0.56,1,0,47.65,14.7,22.32,1,Summer,off-peak hour,0.10,11.51
2012-06-01 3:00:00,77.46,1.21,0.54,1,0,46.74,14.69,13.28,1,Summer,off-peak hour,0.10,7.75
2012-06-01 4:00:00,154.15,35.54,0.56,1,0,79.41,14.68,22.96,1,Summer,off-peak hour,0.10,15.42
2012-06-01 5:00:00,162.41,1.29,0.56,1,0,131.55,14.65,13.36,1,Summer,off-peak hour,0.10,16.24
2012-06-01 6:00:00,238.33,37.5,0.58,1,0,167.21,9.69,22.35,1,Summer,off-peak hour,0.10,23.83
2012-06-01 7:00:00,231.98,1.4,0.55,1,44.02,161.8,9.67,13.54,1,Summer,off-peak hour,0.10,23.20
2012-06-01 8:00:00,217.37,29.59,17.93,1,0,137.18,9.66,22.01,1,Summer,off-peak hour,0.10,21.74
2012-06-01 9:00:00,518.49,8.23,361.46,1,0,124.06,9.69,14.05,1,Summer,off-peak hour,0.10,51.85
2012-06-01 10:00:00,114.56,28.13,1.18,1,0,52.87,9.71,21.67,1,Summer,off-peak hour,0.10,11.46
2012-06-01 11:00:00,663.19,21.32,0.05,1,0,616.87,9.68,14.27,1,Summer,off-peak hour,0.10,66.32
2012-06-01 12:00:00,180.51,12.4,0.05,1,0,136.08,9.66,21.32,0,Summer,off-peak hour,0.10,18.05
2012-06-01 13:00:00,153.34,31.07,0.05,1,0,96.67,9.7,14.85,0,Summer,off-peak hour,0.10,15.33
2012-06-01 14:00:00,117.51,3.86,0.04,1,0,82.05,9.7,20.86,0,Summer,off-peak hour,0.10,11.75
2012-06-01 15:00:00,140.42,41.83,0.05,1,0,72.85,9.7,14.99,0,Summer,off-peak hour,0.10,14.04
2012-06-01 16:00:00,78.22,3.27,0.04,1,0,43.37,9.66,20.88,0,Summer,off-peak hour,0.10,7.82
2012-06-01 17:00:00,342.41,51.34,0.04,1,0,264.98,9.65,15.4,0,Summer,off-peak hour,0.10,34.24
2012-06-01 18:00:00,308.08,6.67,0.04,1,0,270.11,9.68,20.58,1,Summer,peak hour,0.22,67.78
2012-06-01 19:00:00,549.42,47.36,0.06,1,0,475.66,9.76,15.58,1,Summer,peak hour,0.22,120.87
2012-06-01 20:00:00,265.83,4.02,0.06,1,0,230.86,9.67,20.22,1,Summer,peak hour,0.22,58.48
2012-06-01 21:00:00,590.46,31.02,0.07,1,0,531.91,10.37,16.09,1,Summer,peak hour,0.22,129.90
2012-06-01 22:00:00,911.27,14.86,0.06,1,0,681.84,193.93,19.58,1,Summer,peak hour,0.22,200.48
2012-06-01 23:00:00,403.08,18.41,0.05,1,0,196.12,170.9,16.6,1,Summer,off-peak hour,0.10,40.31
2012-06-02 0:00:00,114.92,24.07,0.05,1,0,39.24,31.37,19.19,1,Summer,off-peak hour,0.10,11.49
2012-06-02 1:00:00,75.05,1.3,0.06,1,0,40.94,14.66,17.09,1,Summer,off-peak hour,0.10,7.51
2012-06-02 2:00:00,113.65,40.52,0.05,1,0,38.54,14.71,18.83,1,Summer,off-peak hour,0.10,11.37
2012-06-02 3:00:00,75.51,1.29,0.05,1,0,41.03,14.68,17.46,1,Summer,off-peak hour,0.10,7.55
2012-06-02 4:00:00,148.48,34.34,0.06,1,0,80.15,14.72,18.21,1,Summer,off-peak hour,0.10,14.85
2012-06-02 5:00:00,84.24,10.57,0.05,1,0,39.82,14.68,18.12,1,Summer,off-peak hour,0.10,8.42
2012-06-02 6:00:00,85.78,13.48,0.06,1,0,39.14,14.68,17.42,1,Summer,off-peak hour,0.10,8.58
2012-06-02 7:00:00,116.16,29.84,0.05,1,0,52.08,14.69,18.5,1,Summer,off-peak hour,0.10,11.62
2012-06-02 8:00:00,254.43,13.32,0.06,1,0,212.69,10.51,16.85,1,Summer,off-peak hour,0.10,25.44
2012-06-02 9:00:00,221.68,36.98,0.04,1,0,155.09,9.68,18.89,0,Summer,off-peak hour,0.10,22.17
2012-06-02 10:00:00,76.38,1.22,0.04,1,0,47.82,9.68,16.62,0,Summer,off-peak hour,0.10,7.64
2012-06-02 11:00:00,110.88,40.33,0.04,1,0,40.67,9.65,19.19,0,Summer,off-peak hour,0.10,11.09
2012-06-02 12:00:00,71.9,1.22,0.03,1,0,43.74,9.65,16.26,1,Summer,off-peak hour,0.10,7.19
2012-06-02 13:00:00,99.32,26.69,0.03,1,0,42.29,9.65,19.66,1,Summer,off-peak hour,0.10,9.93
2012-06-02 14:00:00,82.45,14.65,0.03,0.03,0,42.2,9.66,15.88,0,Summer,off-peak hour,0.10,8.25
2012-06-02 15:00:00,84.53,10,0.03,0.05,0,44.48,9.66,20.31,0,Summer,off-peak hour,0.10,8.45
2012-06-02 16:00:00,108.43,34.45,0.05,0.04,0,44.56,9.66,19.67,0,Summer,off-peak hour,0.10,10.84
2012-06-02 17:00:00,562.18,1.33,0.04,0.02,0,532.86,9.65,18.28,1,Summer,off-peak hour,0.10,56.22
2012-06-02 18:00:00,949.09,47.42,0.04,0.02,0,873.85,9.66,18.1,1,Summer,peak hour,0.22,208.80
2012-06-02 19:00:00,129.41,10.87,0.04,0.03,0,90.53,10.11,17.83,1,Summer,peak hour,0.22,28.47
2012-06-02 20:00:00,121.11,50.82,0.06,0.07,0,42.13,9.68,18.35,1,Summer,peak hour,0.22,26.64
2012-06-02 21:00:00,81.09,10.83,0.06,0.05,0,42.67,9.67,17.81,1,Summer,peak hour,0.22,17.84
2012-06-02 22:00:00,202.88,41.07,0.06,0.02,0.17,119.25,22.16,20.15,1,Summer,peak hour,0.22,44.63
